Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Conductivity_in_Siemens_per_cm,Energy_in_Watt_hour_per_kg
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.0,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,97.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,97.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,97.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,94.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,94.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,94.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,100.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,100.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,100.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,2.7,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,97.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,97.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,97.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,94.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,94.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,94.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,100.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,100.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,100.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.0,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,97.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,97.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,97.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,94.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,94.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,94.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,100.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,100.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,100.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.7,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,97.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,97.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,97.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,94.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,94.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,94.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,100.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,100.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,100.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,1.8,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,97.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,97.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,97.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,94.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,94.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,94.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,100.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,100.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,100.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,97.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,97.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,97.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,94.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,94.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,94.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,100.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,100.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,100.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,3.0,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,97.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,97.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,97.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,94.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,94.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,94.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,100.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,100.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,100.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,99.0,1e-12,263.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,99.0,1e-12,440.0
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,99.0,1e-12,10.1
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,630.0,0.5,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,97.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,97.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,97.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,94.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,94.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,94.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,100.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,100.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,100.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,0.38,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,97.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,97.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,97.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,94.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,94.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,94.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,100.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,100.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,100.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.0,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,97.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,97.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,97.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,94.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,94.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,94.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,100.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,100.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,100.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,2.7,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,97.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,97.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,97.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,94.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,94.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,94.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,100.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,100.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,100.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.0,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,97.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,97.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,97.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,94.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,94.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,94.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,100.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,100.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,100.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.7,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,97.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,97.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,97.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,94.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,94.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,94.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,100.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,100.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,100.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,1.8,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,97.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,97.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,97.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,94.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,94.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,94.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,100.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,100.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,100.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,99.0,1e-12,10.1
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,99.0,1e-12,263.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,99.0,1e-12,440.0
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,520.0,3.0,99.0,1e-12,10.1
